id	name	c_10	h_index	Q	paper	citations	IndexBestPaper	TitleBestPaper	JournalBestPaper	YearBestPaper
54083	Daniel Charles Mattis	6.56	14	1.57	78	0 51 20 0 0 22 10 9 4 3 9 0 23 41 10 0 6 1 3 3 1 18 5 3 1 6 1 5 1 3 8 1 0 0 3 5 0 5 7 5 0 0 24 1 10 0 1 7 3 5 0 4 6 3 6 0 8 2 4 4 10 14 0 3 2 4 20 7 3 2 3 0 6 0 5 1 0	78	The uses of quantum field theory in diffusion-limited reactions	RMP	1998
54104	William E. Cooke	10.7	17	2.67	57	5 1 9 9 13 5 46 6 1 4 35 16 18 8 4 22 8 1 38 15 2 0 5 27 0 30 8 8 13 2 12 19 12 8 15 35 16 1 5 5 2 6 1 4 25 13 4 7 25 10 19 3 4 0 1 0	6	Field ionization of highly excited states of sodium	PRA	1977
54344	Paul K. Hansma	6.55	9	2.05	27	3 6 7 2 9 3 0 20 1 0 17 6 2 8 0 5 2 2 27 5 9 7 11 7 4 4	19	Charge-density waves observed with a tunneling microscope	PRL	1985
54347	Masayuki Ono	4.5	5	1.49	18	0 2 1 6 3 2 3 0 5 8 7 2 1 1 30 4 0	15	H-mode behavior induced by cross-field currents in a tokamak	PRL	1989
54350	Boris W. Batterman	8.81	15	2.51	37	1 7 3 27 9 5 16 2 3 19 35 32 8 9 5 13 9 2 8 1 5 0 12 0 9 2 6 2 7 15 16 8 9 2 13 1	11	Crystal Structure of Superconducting V_{3}Si	PRL	1964
54505	Nicholas A. Krall	3.12	5	1.25	16	0 6 9 4 1 0 2 4 7 12 1 2 0 0 0	10	Low-Frequency Instabilities in Magnetic Pulses	PRA	1971
54760	Keith L. Wong	4.66	7	1.72	21	2 7 0 6 3 2 3 0 5 0 27 1 6 3 18 6 8 10 3 4	11	Polarization of x-ray emission lines from heliumlike scandium as a probe of the hyperfine interaction	PRL	1990
54764	Luca Peliti	21.9	8	3.43	11	16 8 48 26 55 0 12 0 18 56	10	Measuring Equilibrium Properties in Aging Systems	PRL	1998
54889	Fred L. Ribe	5.31	7	1.75	22	11 7 3 0 15 11 3 3 4 21 9 1 4 8 0 4 3 1 3 1 0	10	The Pickup Reactions B^{10}(n, d)Be^{9} for 14-Mev Neutrons	PR	1954
54963	P. F. Dittner	9.52	14	2.63	36	0 8 4 3 3 8 5 2 14 2 11 6 2 0 17 46 15 5 20 23 16 13 17 1 15 18 14 1 3 13 11 1 3 3 9	16	Cross Sections for Dielectronic Recombination of B^{2+} and C^{3+} via 2s→2p Excitation	PRL	1983
55040	Wolfgang Domcke	7.58	9	2.33	17	12 15 6 2 20 10 2 10 13 21 3 4 3 4 2 1	10	Nuclear dynamics in resonant electron-molecule scattering beyond the local approximation: Vibrational excitation and dissociative attachment in H_{2} and D_{2}	PRA	1985
55060	Raoul Kopelman	9.44	14	2.76	38	1 1 8 7 1 14 9 3 2 5 17 39 11 11 28 13 20 10 14 9 15 6 12 5 3 7 23 0 7 15 11 6 4 10 3 5 0	12	Steady-state chemical kinetics on fractals: Segregation of reactants	PRL	1987
55293	J. J. Van Leeuwen	10.5	12	2.54	32	15 6 0 29 22 4 39 33 11 9 12 9 11 0 6 0 3 0 0 14 6 6 11 1 24 8 30 1 12 2 3	7	Wilson Theory for Spin Systems on a Triangular Lattice	PRL	1973
55347	Horst Stöcker	15.9	22	4.11	66	17 35 10 19 19 9 2 2 10 11 14 31 17 18 83 36 40 13 11 0 8 16 27 37 26 10 6 13 12 38 79 32 8 9 0 21 8 7 6 13 6 28 15 18 18 12 25 7 6 12 9 23 11 20 0 9 3 1 12 22 18 5 5 2 2	15	Microscopic Theory of Pion Production and Sidewards Flow in Heavy-Ion Collisions	PRL	1985
55385	L. G. Benguigui	3.72	6	1.24	25	1 2 3 0 0 1 1 0 2 1 0 36 4 1 1 7 3 4 5 9 0 2 5 3	12	Experimental Study of the Elastic Properties of a Percolating System	PRL	1984
